id,text,valg1_label,valg1_goto,valg2_label,valg2_goto,story_title,story_description,length,age
13,"""Tak fordi du vil gå med mig,"" siger Grisling lettet. ""Det føles meget tryggere, når vi er to."" De går sammen gennem træerne. Fuglene synger, og skoven virker mindre uhyggelig. ""Hvor skal vi egentlig hen?"" spørger Plys nysgerrigt.",Gå til søen,17,Gå videre gennem skoven,18,,,,
15,"Peter Plys og Kanin planter flere rækker med gulerødder. ""Du er faktisk ret god til det her,"" siger Kanin. Peter Plys ranker sig lidt. ""Det er sjovt at lære noget nyt,"" siger han. De sætter sig i skyggen og hviler. Kanin fortæller om sine planer for haven, og Plys lytter opmærksomt. ""Det er dejligt at have en ven at snakke med,"" tænker han.",Kanin tilbyder honning som tak,19,Gå hjem nu,7,,,,
17,"Grisling og Peter Plys går hen til søen. Vandet klukker stille, og ved bredden sidder Kylling og kigger ud på spejlingen. ""Se, der er Kylling!"" siger Plys. ""Nu er jeg slet ikke lige så bange længere,"" siger Grisling og smiler. ""Tak fordi du gik med mig, Plys!""",Fortsæt,20,,,,,,
18,"Ved søen møder de Kylling, som sidder og ser drømmende ud over vandet. ""Hej!"" siger hun. ""Hvor skal I hen?"" Grisling fortæller, at han var bange, men nu føler han sig modigere sammen med Plys. ""Det er dejligt at have venner,"" siger Kylling varmt.",Bliv ved med at gå sammen,21,Gå tilbage,13,,,,
19,"""Tak for hjælpen!"" siger Kanin. ""Du har virkelig gjort min have flot, Plys. Som tak kan du få endnu en krukke honning!"" Peter Plyss øjne lyser op. ""Måske… to krukker?"" spørger han forsigtigt. Kanin griner. ""Okay, to krukker. Det har du fortjent.""",Fortsæt,22,,,,,,
20,"Grisling og Peter Plys går videre gennem skoven. ""Hvor skal du egentlig hen?"" spørger Grisling. ""Jeg er på vej hjem til mit træ med min honning,"" svarer Plys. ""Men måske kunne vi også gå på en lille ekspedition? Eller se, om der er nye venner et sted i skoven?""",Gå på ekspedition,112,Gå hjem med Grisling,24,,,,
21,"Kylling, Grisling og Peter Plys går langs stien ved søen. ""Det er så rart at være flere sammen,"" siger Grisling. ""Ja,"" nikker Kylling, ""når man er mange, føles skoven mere som et eventyr end som noget farligt."" ",Gå videre sammen,20,Spørg om at gå på eventyr,25,,,,
22,"Peter Plys går hjem med to honningkrukker i favnen. ""Sikke en fantastisk dag,"" tænker han. ""Jeg hjalp min ven, lærte noget nyt og fik honning oveni. Det er næsten mere, end en bjørn kan ønske sig!"" Han sætter sig i sin stol og nyder honningen i små, lykkelige bidder.",Slut - fortællingen er færdig,,,,,,,
23,"Peter Plys kigger op i trækronerne. ""Jeg kan se en bikube deroppe!"" siger han spændt. ""Men den hænger meget højt. Hvordan skal jeg mon nå den?"" Grisling kigger også op. ""Måske kan vi bygge en stige?"" foreslår han. ""Eller du kan prøve at klatre.""",Prøv at klatre op,26,Byg en stige sammen,27,,,,
24,"Grisling og Peter Plys går hjemad sammen. På vejen snakker de om alt muligt – honning, skove, og hvordan det føles at være modig, selv når man er bange. ""Det er dejligt at have venner,"" siger Plys. ""Ja,"" nikker Grisling, ""og tak fordi du gik med mig gennem skoven.""",Fortsæt,7,,,,,,
25,"""Måske skulle vi spørge de andre om hjælp,"" siger Peter Plys. ""Det er en god idé,"" svarer Grisling. De går hen til Kanins hus og banker på. Kanin åbner døren. ""Hej – hvad kan jeg hjælpe jer med?"" spørger han nysgerrigt.",Forklar situationen,28,Spørg om honning,29,,,,
30,"Da stigen bryder sammen, sætter Plys og Grisling sig lidt forpustede på jorden. ""Måske skulle vi spørge de andre, om de vil med på eventyr i stedet,"" siger Plys. ""Ja!"" svarer Grisling. De går til Kyllings hus og fortæller om deres idé. ""Det lyder sjovt – jeg vil gerne med!"" siger Kylling straks.",Gå på eventyr sammen,20,Spørg om flere venner,35,,,,
31,"""Måske kan vi finde honning et andet sted,"" foreslår Plys. ""Jeg ved, der nogle gange står en honningkrukke ved den gamle stub,"" siger Grisling. ""Lad os gå derhen og kigge!"" De går afsted side om side mod stubben.",Fortsæt,36,,,,,,
32,"Ved et stort egetræ finder de noget uventet. ""Se her!"" siger Kanin og peger. ""Der står en flot blomst lige ved stammen!"" Grisling smiler. ""Tak fordi I kom med på eventyr – det er meget sjovere sammen,"" siger han.",Fejr sammen,37,Gå hjem,38,,,,
33,"De tre venner går videre gennem skoven. De opdager en sommerfugl, der danser i luften, og en lille bæk, der risler mellem stenene. ""Hvor er her egentlig spændende,"" siger Grisling. ""Og lidt mindre uhyggeligt, når man er flere,"" tilføjer han.",Bliv ved med at gå,20,Spørg om flere venner,35,,,,
34,"Kylling, Grisling og Plys går på stien. Kylling peger pludselig ind mellem træerne. ""Jeg synes, jeg så noget bevæge sig derovre!"" siger hun spændt.",Gå hen for at se,20,Bliv ved med at gå,33,,,,
35,"""Skulle vi ikke spørge alle vores venner, om de vil med på eventyr?"" foreslår Plys. ""Jo!"" siger Grisling. De går rundt i skoven og inviterer alle: Kylling, Kanin – og måske endda nogle nye venner. Snart er en hel lille gruppe klar til at gå afsted.",Saml alle vennerne,41,Gå videre,20,,,,
36,"Ved den gamle stub finder de faktisk en lille honningkrukke. ""Se!"" siger Grisling. ""Nogen må have glemt den her."" Peter Plyss øjne skinner. ""Måske skal vi dele den?"" foreslår han. Grisling nikker ivrigt.",Fortsæt,42,,,,,,
37,"Alle vennerne fejrer, at de fandt både blomst, honning og hinanden. ""Det er så dejligt at have venner, der hjælper hinanden,"" siger Grisling. Kanin henter gulerødder, Kylling kommer med bær, og Plys deler honning. De laver en lille fest midt i skoven.",Slut - fortællingen er færdig,,,,,,,
38,"Peter Plys går hjem med sin honning. ""Det har været en god dag,"" tænker han. ""Jeg hjalp en ven, gik på eventyr og fandt honning. Det er næsten alt det bedste på én gang."" Han sætter sig i sin yndlingsstol og nyder roen i sit træ.",Slut - fortællingen er færdig,,,,,,,
39,"Vennerne bliver ved med at gå på opdagelse. Efter et stykke tid opdager de noget særligt. ""Se!"" råber Grisling. ""Der står en smuk blomst lige her!"" Han vender sig mod de andre. ""Tak fordi I gik med mig – det er meget modigere at være bange sammen end alene.""",Fortsæt,37,,,,,,
40,"De går hen for at se, hvad Kylling har opdaget. En lille kanin hopper forskrækket væk mellem buskene. ""Det var bare en lille kanin,"" siger Grisling. ""Måske kunne den også blive vores ven, hvis vi spørger pænt?""",Spørg kaninen,20,Bliv ved med at gå,33,,,,
41,"Alle vennerne samles: Peter Plys, Grisling, Kanin, Kylling og måske endda flere. ""Lad os gå på eventyr sammen!"" siger Plys. De deler sig op i små grupper og begynder at udforske skoven, hvor der er masser af nye ting at opdage.",Gå på eventyr i grupper,20,Fejr sammen,37,,,,
42,"Grisling og Peter Plys deler honningen ved stubben. ""Det smager helt vidunderligt!"" siger Plys. ""Ja,"" siger Grisling, ""og det smager endnu bedre, når man deler det med en ven."" De sidder længe og nyder hver en dråbe.",Fortsæt,24,,,,,,
43,"Peter Plys tager honningkrukken op og kigger på den. ""Jeg håber ikke, ejeren savner den,"" tænker han. Men der er ingen i nærheden, og han er glad for at have fundet den. Han beslutter at gå hjem med den i roligt tempo.",Fortsæt,7,,,,,,
44,"De spørger den lille kanin: ""Vil du være venner med os?"" Grisling kigger håbefuldt på den. Kaninen nikker ivrigt. ""Ja, det vil jeg gerne!"" siger den. ""Kom med på eventyr,"" siger Plys, ""vi har plads til flere venner!""",Gå videre sammen,20,Bliv ved med at gå,33,,,,
45,"Vennerne deler sig i to grupper: Kanin og Plys går den ene vej, mens Grisling og Kylling går den anden. ""Det er sjovt at udforske skoven på forskellige måder!"", siger Plys. De lover at mødes senere og dele, hvad de har set.",Grupperne mødes igen,20,Fejr sammen,37,,,,
46,"Alle vennerne fejrer dagens eventyr. ""Det er så dejligt at have venner,"" siger Grisling. ""Man bliver knap nok bange længere."" De beslutter at lave en stor fest med sang, bær og selvfølgelig lidt honning.",Slut - fortællingen er færdig,,,,,,,
47,"Grisling og Plys går videre ind mellem træerne. ""Hvor skal vi hen nu?"" spørger Grisling. ""Måske på ekspedition!"" siger Plys. ""Eller måske opdager vi noget, ingen andre har set før?"" Mulighederne føles pludselig uendelige.",Gå på ekspedition,112,Gå på opdagelse,50,,,,
48,"Grupperne mødes igen. ""Hvad fandt I?"" spørger Plys. ""Masser af spændende ting!"" svarer Grisling glad. Kylling fortæller om en stor sommerfugl, og Kanin har fundet en særlig sten. De er enige om, at dagen har været fuld af opdagelser.",Bliv ved med at gå,20,Fejr sammen,37,,,,
50,"Grisling og Plys går på opdagelse dybt inde i skoven. De ser nye stier, store mosdækkede sten og måske endda et sted, som ingen af dem kan huske at have set før. ""Hvor er her spændende!"" siger Plys.",Slut - fortællingen er færdig,,,,,,,
51,"""Skal vi spørge endnu flere venner, om de vil med på eventyr?"" spørger Plys. Grisling nikker. Snart er hele skoven fuld af små grupper, der alle går på opdagelse. ""Det føles som en fest!"" griner Kylling.",Alle går på eventyr sammen,20,Fejr sammen,37,,,,
54,"Kanin inviterer Plys indenfor. ""Du kan spise lidt honning her, hvis du vil,"" siger han. Plys sætter sig til bords og spiser… og spiser… og bliver mere og mere rund. ""Mmm, hvor smager det godt!"" siger han mellem bidderne.",Prøv at gå ud,56,Bliv og spis mere,57,,,,
55,"Plys kigger op på en bikube højt oppe i et træ. ""Hvordan når jeg derop?"" tænker han. ""Måske kan jeg klæde mig ud som en lille sky og flyve?"" Han tager en blå ballon og binder den om sig.",Klæder sig ud som en sky,58,Spørg om hjælp,59,,,,
56,"Plys prøver at gå ud, men han er blevet så tyk, at han sætter sig fast i døren! ""Åh nej!"" siger han. Kanin kigger dramatisk på ham. ""Plys! Du sidder fast!"" ""Jeg ved det,"" sukker Plys.",Vent på at blive tyndere,60,Prøv at trække dig ud,61,,,,
57,"Plys bliver ved med at spise. Han ved godt, han burde stoppe, men honningen smager alt for godt. Til sidst er han så tung, at han næsten ikke kan bevæge sig. ""Måske var det en fejl,"" tænker han – og det var det nok også.",Fortsæt,56,,,,,,
58,"Plys svæver langsomt op med ballonen. ""Nu ligner jeg en sky!"" siger han glad. Men bierne lader sig ikke narre – de summer mistænksomt. ""Hmm… måske virker det ikke,"" mumler Plys.",Prøv at snige dig til honning,62,Giv op og gå til Kanin,2,,,,
59,"""Jeg må hellere få hjælp,"" tænker Plys. Han går for at finde Grisling. ""Grisling, kan du hjælpe mig med at få honning fra bierne?"" spørger Plys. ""Det lyder farligt,"" siger Grisling nervøst.",Gå for at finde Grisling,63,Gå til Kanin i stedet,2,,,,
60,"Efter mange dage fanget i døren er Plys blevet tyndere. Kanin har læst historier højt, og Grisling har sunget små sange for at holde humøret oppe. Endelig kan Plys glide fri! ""Jeg er ude!"" råber han lettet.",Kommer endelig ud,64,Bliv ved med at vente,60,,,,
61,"Plys prøver at hive sig selv ud, men det gør kun mere ondt. ""Av!"" siger han. ""Det hjælper ikke,"" siger Kanin. ""Du må vente til du bliver tyndere."" Plys sukker og accepterer sin skæbne.",Vent på at blive tyndere,60,Spørg om hjælp,65,,,,
62,"Plys forsøger at snige sig til honningen, men bierne opdager ham straks. ""Bzzz!"" brummer de vredt. Plys løber alt hvad han kan. ""Det her er ikke en god plan!"" råber han, mens bierne forfølger ham.",Løb væk,66,Forsøg at forklare dig,67,,,,
63,"Plys finder Grisling. ""Kan du hjælpe mig med bierne?"" spørger han. ""Det er nok en dårlig idé,"" siger Grisling. ""Skal vi ikke spørge Kanin om honning i stedet?""",Gå til Kanin,2,Prøv alligevel,68,,,,
64,"Endelig fri! ""Tak fordi du hjalp mig,"" siger Plys til Kanin. ""Næste gang spiser jeg lidt mindre."" Kanin griner. ""Det tror jeg er en god idé."" Plys trasker hjemad – lidt klogere.",Slut - fortællingen er færdig,,,,,,,
65,"Plys råber efter hjælp. Alle vennerne kommer løbende og prøver at trække ham ud, men det virker ikke. ""Du må vente på at blive tyndere,"" siger Kanin. ""Det er den eneste løsning.""",Fortsæt,60,,,,,,
66,"Plys løber alt hvad han kan væk fra bierne. ""Det var tæt på!"" siger han forpustet. ""Jeg tror bare, jeg spørger Kanin om honning i stedet."" Han går mod Kanins hus.",Fortsæt,2,,,,,,
67,"Plys prøver at forklare bierne: ""Jeg er bare en lille sky!"" Men bierne køber den ikke. De brummer vredt og jager ham væk. ""Det fungerede ikke!"" råber han.",Fortsæt,66,,,,,,
68,"Grisling og Plys prøver alligevel. De bygger en stige, men bierne opdager dem med det samme. ""Bzzz!"" lyder det truende. ""Lad os gå til Kanin i stedet,"" foreslår Grisling.",Gå til Kanin,2,Prøv endnu en gang,70,,,,
69,"Plys tænker længe. ""Måske forsvinder bierne, hvis jeg venter?"" Men nej – de holder fast ved bikuben. ""Det her virker ikke,"" siger han og går mod Kanin.",Fortsæt,2,,,,,,
70,"De prøver igen med en stærkere stige, men bierne bliver bare endnu mere vrede. ""Det virker stadig ikke,"" siger Grisling. ""Lad os gå til Kanin."" Plys nikker hurtigt.",Fortsæt,2,,,,,,
71,"Plys venter og venter… men bierne bliver. ""Det nytter ikke,"" sukker han. ""Jeg går til Kanin i stedet.""",Fortsæt,2,,,,,,
72,"Plys går gennem skoven og møder Øbør, der ser endnu mere trist ud end normalt. ""Hvad er der galt?"" spørger Plys. ""Jeg har mistet min hale,"" siger Øbør. ""Eller også er det min fødselsdag i morgen… og ingen husker det.""",Hjælp Øbør med at finde halen,73,Spørg om fødselsdagen,106,,,,
73,"Plys og Øbør leder efter halen. De tjekker under blade, bag sten og i buske. ""Hvor kan den være?"" spørger Plys. ""Jeg ved det ikke,"" siger Øbør trist. ""Den er bare væk – ligesom alt andet.""",Leder videre,75,Spørg de andre om hjælp,76,,,,
74,"""Hvad skete der?"" spørger Plys. Øbør sukker. ""Jeg ved det ikke. Den var der i går, og nu er den væk. Det er typisk mig."" Plys prøver at se opmuntrende ud.",Hjælp med at lede,73,Trøst Øbør,77,,,,
75,"De leder videre. Under bladene. Bag sten. I en lille hulning. Intet. ""Jeg kan ikke finde den,"" siger Plys. ""Det er okay,"" siger Øbør. ""Jeg er vant til det.""",Bliv ved med at lede,78,Spørg om hjælp,76,,,,
76,"Plys spørger de andre venner om hjælp. ""Øbør har mistet sin hale!"" siger han. Alle skynder sig at hjælpe. De leder i hele skoven.",Alle leder sammen,79,Find halen,80,,,,
77,"Plys prøver at trøste Øbør. ""Vi finder den nok,"" siger han stille. Øbør nikker lidt. ""Tak, Plys. Det er pænt af dig at prøve.""",Fortsæt,73,,,,,,
78,"Efter lang tids søgen finder de endelig halen – den har hængt og svajet fra en gren hele tiden! ""Her er den!"" råber Plys. Øbør smiler svagt. ""Tak, Plys.""",Fejr sammen,81,Gå hjem,7,,,,
79,"Alle leder sammen: Kanin, Kylling, Grisling og Plys. ""Vi finder den nok,"" siger Plys. De leder under rødder, bag buske og højt i træerne.",Find halen,80,Bliv ved med at lede,79,,,,
80,"Endelig finder de halen – højt oppe i et træ. ""Vi fandt den!"" råber alle. Øbør ser næsten glad ud. ""Tak alle sammen,"" siger han.",Fejr sammen,81,Gå hjem,7,,,,
81,"Alle vennerne fejrer, at de fandt Øbørs hale. ""Det er så dejligt at have venner,"" siger Plys. Øbør nikker stille. ""Tak alle sammen. Det betyder faktisk… en del,"" siger han og ser næsten glad ud.",Slut - fortællingen er færdig,,,,,,,
82,"Plys går gennem skoven, da han hører en mærkelig lyd. Pludselig springer en orange skabning ud foran ham. ""Hej! Jeg er Tigger! T-I-DOBBELT-G-E-R!"" råber Tigger begejstret og hopper op og ned.",Sig hej til Tigger,83,Bliv bange og løb,84,,,,
83,"""Hej Tigger,"" siger Plys og smiler. ""Hvem er du?"" Tigger hopper hele tiden. ""Jeg er Tigger! Jeg hopper! Det er det bedste jeg ved! Vil du være min ven?"" spørger han ivrigt.",Bliv venner med Tigger,85,Spørg om Tigger vil møde de andre,86,,,,
84,"Plys bliver forskrækket og løber et par skridt væk – men Tigger hopper efter ham. ""Vent! Jeg er bare glad!"" råber Tigger. Plys stopper langsomt og vender sig om.",Vend dig om og sig hej,83,Bliv ved med at løbe,87,,,,
85,"Plys og Tigger bliver hurtigt venner. ""Det er sjovt at have en ven, der hopper så meget,"" siger Plys. ""Og jeg hopper bedre end nogen anden!"" siger Tigger stolt.",Gå videre sammen,88,Prøv at hoppe sammen,89,,,,
86,"""Vil du møde mine andre venner?"" spørger Plys. ""JA!"" råber Tigger uden tøven. ""Jeg elsker at møde nye venner!"" De går afsted sammen, Tigger hoppende og Plys traskende.",Gå for at finde vennerne,90,Bliv venner først,85,,,,
87,"Plys løber videre, men Tigger hopper stadig med. ""Jeg er altså ikke farlig!"" råber Tigger. Til sidst stopper Plys og sukker. ""Okay… måske er du bare glad,"" siger han.",Vend om,83,Bliv ved med at løbe,87,,,,
88,"Plys og Tigger fortsætter gennem skoven. Tigger hopper så højt, at han næsten når grenene. ""Det er sjovt at have en ny ven!"" siger Plys og smiler.",Slut - fortællingen er færdig,,,,,,,
89,"Plys prøver også at hoppe, men han hopper kun en lille smule. ""Jeg kan ikke hoppe som dig,"" siger han. ""Det gør ikke noget!"" siger Tigger. ""Vi kan stadig være venner!""",Gå videre sammen,88,Prøv igen,89,,,,
90,"Plys og Tigger finder de andre venner. ""Hej alle sammen! Dette er Tigger!"" siger Plys. Vennerne hilser venligt. ""Velkommen til Hundredmeterskoven!"" siger Kanin.",Alle bliver venner,91,Fejr sammen,92,,,,
91,"Alle hilser på Tigger. ""Det er dejligt med en ny ven!"" siger Grisling. Tigger hopper glad i cirkler. ""Jeg elsker det her sted!"" råber han.",Slut - fortællingen er færdig,,,,,,,
92,"De holder en lille fest for at fejre Tiggers ankomst. Tigger hopper rundt, mens de andre griner. ""Det er så sjovt at have Tigger med!"" siger Plys.",Fortsæt,7,,,,,,
93,"Plys går en tur i skoven. Han ser blade danse i vinden og hører små lyde. Måske møder han Øbør… eller måske den hoppende lyd igen… eller Grisling, der leder efter noget?",Gå hen til Grisling,94,Undersøg den hoppende lyd,82,,,,
94,"Plys finder Grisling, som ser bekymret ud. ""Hvad laver du?"" spørger Plys. ""Jeg tænker på heffalumper,"" siger Grisling. ""Hvad er det?"" ""Et stort farligt dyr! Vi må fange en!""",Planlæg heffalump-jagt,95,Spørg om hjælp,96,,,,
95,"Plys og Grisling beslutter at fange en heffalump. ""Vi skal grave en fælde!"" siger Grisling. ""Og bruge honning som lokkemad!"" tilføjer Plys. De går i gang.",Grav fælden,97,Spørg om hjælp fra andre,98,,,,
96,"Grisling foreslår: ""Måske burde vi spørge Kanin? Han er god til planer."" De går hen til Kanin og fortæller om jagten.",Kanin hjælper,99,Planlæg selv,95,,,,
97,"De graver en stor fælde. ""Det ser godt ud!"" siger Plys. ""Nu mangler vi kun honning,"" siger Grisling. ""Jeg har en krukke!"", siger Plys stolt.",Læg honning i fælden,100,Spørg Kanin om honning,101,,,,
98,"Alle vennerne hjælper med at grave fælden. ""Med så mange hænder går det meget hurtigere!"" siger Kylling. Nu mangler kun lokkemaden.",Alle hjælper med fælden,102,Planlæg selv,95,,,,
99,"Kanin nikker. ""Heffalumper er farlige! Vi må være forsigtige."" De planlægger fælden trin for trin.",Grav fælden,97,Spørg om flere venner,98,,,,
100,"Plys lægger honning i fælden. De gemmer sig bag et træ. Efter lang tid kommer der nogen… *plask!* Det er Kanin, der er faldet i fælden!",Hjælp Kanin op,103,Grin af situationen,104,,,,
101,"""Kanin, må jeg låne noget honning?"" spørger Plys. ""Det er til heffalump-fælden!"" Kanin giver ham en krukke. ""Bare pas på,"" siger han.",Læg honning i fælden,100,Grav fælden først,97,,,,
102,"Alle vennerne graver fælden færdig sammen. ""Nu mangler vi bare honningen,"" siger Plys. ""Jeg har en!"" siger Kanin og rækker en krukke frem.",Læg honning i fælden,100,Vent og se hvad der sker,105,,,,
103,"De hjælper Kanin op af fælden. ""Åh nej,"" siger Kanin. ""Jeg faldt i!"" Grisling klør sig i nakken. ""Måske er heffalumper ikke så farlige alligevel…""",Slut - fortællingen er færdig,,,,,,,
104,"Plys og Grisling begynder at grine. ""Det var ikke en heffalump – det var Kanin!"" siger de. ""Måske findes heffalumper slet ikke?"" spørger Grisling.",Fortsæt,7,,,,,,
105,"Alle vennerne venter spændt. Efter lang tid høres et bump. ""Er det en heffalump?"" spørger Grisling… men nej – det er Kanin igen. Alle griner.",Fortsæt,7,,,,,,
106,"Plys møder Øbør, som ser ekstra trist ud. ""Det er min fødselsdag i morgen,"" siger han. ""Men ingen husker det nok."" Plys bliver straks beslutsom.",Planlæg overraskelse,107,Spørg de andre,108,,,,
107,"Plys planlægger en fødselsdagsoverraskelse. ""Han skal have gaver!"" tænker han. Han går ud for at finde de andre og fortælle dem om planen.",Saml alle vennerne,109,Forbered gaver,110,,,,
108,"Plys fortæller de andre: ""Det er Øbørs fødselsdag i morgen!"" ""Det vidste vi ikke!"" siger Grisling. ""Vi må lave gaver!"" Alle bliver begejstrede.",Planlæg gaver,110,Fejr sammen,111,,,,
109,"Plys samler alle vennerne: Kylling, Kanin, Tigger og Grisling. ""Vi skal overraske Øbør!"" siger han. Alle jubler.",Forbered gaver,110,Fejr dagen efter,111,,,,
110,"Alle forbereder gaver: Grisling finder en blomst, Kanin en gulerod, Kylling et bånd, og Plys en honningkrukke. ""Perfekt!"" siger de.",Fejr dagen efter,111,Gå hjem,7,,,,
111,"Næste dag overrasker de Øbør. ""Tillykke med fødselsdagen!"" råber alle. Øbør ser for en stund helt glad ud. ""Tak… det er pænt af jer,"" siger han.",Slut - fortællingen er færdig,,,,,,,
112,"Plys og Grisling vil på ekspedition. ""Lad os finde Nordpolen!"" siger Plys. ""Hvor er den?"" spørger Grisling. ""Det finder vi ud af!"" svarer Plys stolt.",Gå på ekspedition,113,Spørg om hjælp,114,,,,
113,"De går langt gennem skoven. ""Hvor er Nordpolen?"" spørger Grisling. ""Jeg ved det ikke,"" siger Plys. ""Men vi finder den nok!""",Find noget interessant,115,Bliv trætte,116,,,,
114,"Plys og Grisling inviterer alle de andre. ""Vi leder efter Nordpolen!"" siger de. ""Vi vil med!"" råber alle.",Alle går på ekspedition,117,Planlæg selv,113,,,,
115,"De finder en pæl i jorden. ""Se!"" siger Plys. ""Det må være Nordpolen!"" Grisling stirrer. ""Er du sikker?"" ""Helt sikkert,"" siger Plys stolt.",Fejr fundet,118,Gå videre,119,,,,
116,"Efter lang tids vandring bliver de trætte. ""Nordpolen er måske for langt væk,"" siger Grisling. ""Lad os prøve igen en anden dag,"" foreslår Plys.",Fortsæt,7,,,,,,
117,"Alle går på ekspedition. De leder længe, og pludselig står der en pæl midt i skoven. ""Vi fandt Nordpolen!"" råber Grisling.",Find Nordpolen,118,Bliv trætte,120,,,,
118,"Alle fejrer, at de har fundet Nordpolen. De danser rundt om pælen og griner. ""Det var en fantastisk ekspedition!"" siger Plys.",Slut - fortællingen er færdig,,,,,,,
119,"Plys og Grisling går videre. ""Måske er Nordpolen længere væk,"" siger Plys. Men efter lang tid finder de ingenting. ""Måske var pælen Nordpolen alligevel,"" siger Grisling.",Fortsæt,118,,,,,,
120,"Alle bliver trætte efter en lang ekspedition. ""Måske var pælen Nordpolen,"" siger Kanin. ""Det tror jeg også,"" siger Plys.",Fortsæt,118,,,,,,
121,"En storm har raseret Hundredmeterskoven. Plys og Grisling går en tur bagefter og ser, at Ugles træ er væltet. ""Åh nej!"" siger Grisling. ""Ugle må være fanget derinde!""",Undersøg træet,122,Spørg om hjælp,123,,,,
122,"Plys og Grisling går ind i det væltede træ. ""Hej Ugle!"" kalder de. ""Er du her?"" ""Ja!"" svarer Ugle. ""Jeg sidder fast og kan ikke komme ud!""",Prøv at hjælpe Ugle ud,124,Spørg om hjælp,123,,,,
123,"Plys og Grisling skynder sig afsted for at hente hjælp. ""Ugles hus er væltet!"" siger Plys. Alle vennerne kommer løbende for at hjælpe.",Alle hjælper Ugle,125,Prøv selv,122,,,,
124,"Plys og Grisling prøver at trække og skubbe, men Ugle sidder helt fast. ""Vi har brug for hjælp,"" siger Plys.",Fortsæt,123,,,,,,
