id,text,valg1_label,valg1_goto,valg2_label,valg2_goto,valg3_label,valg3_goto,check_stat,check_dc,check_success,check_fail,image,front_screen_image,story_title,story_description,length,age
6,"Dr. Elena smiles understandingly. ""That's completely normal. Hypnosis isn't about losing control - it's about gaining it. You'll be aware of everything. You can stop at any time. It's simply a state of deep relaxation where your subconscious mind is more open to positive suggestions. Think of it like guided meditation, but more focused.""",I understand - I'm ready,5j,I still have questions,7,,,,,,,,,,,,
7,"Dr. Elena explains: ""During hypnosis, you'll be in a deeply relaxed state, similar to when you're just about to fall asleep. I'll guide you through visualization exercises and positive affirmations. Your conscious mind will be quiet, allowing your subconscious to accept new patterns of thinking. Many people find it incredibly peaceful and transformative.""",That sounds helpful - let's begin,5j,I need more time to think,8,,,,,,,,,,,,
5j,
"[HYPNOSIS SESSION BEGINS - This will be a journey segment with audio]""",Continue after session,5a,,,,,,,,,,,,,,,
5a,"Dr. Elena suggested I visit a colleague in South Africa - a traditional healer who works with the power of voice and rhythm. It sounds strange, but I'm willing to try anything.""",Continue the journey,8,,,,,,,,,,,,,,,
8,"Dr. Elena smiles. ""You did beautifully, Maya. But this is just the beginning. True healing often requires exploring different approaches. I have a colleague in South Africa - a traditional healer who works with the power of voice and rhythm. Would you like to visit her?""",Yes I'll go to South Africa,9,I want to try more sessions here first,10,I'm not sure about traditional healing,11,,,,,,,,,,
9,"You board a plane to Cape Town. The journey itself feels like an adventure. As you land, you're met by Zara, a guide who takes you to a small village outside the city. There, you meet Mama Thandi, a sangoma (traditional healer) known for her powerful voice healing ceremonies.",Continue to the ceremony,12,,,,,,,,,,,,,,
10,"Dr. Elena nods. ""Of course. We can do several more sessions here. Sometimes local work is enough. But I've found that when people are truly stuck, a change of environment can be transformative. The choice is yours.""",I'll go to South Africa,9,Let's do more sessions here,10a,,,,,,,,,,,,
10a,"You continue working with Dr. Elena for two more weeks. Each session deepens your relaxation and helps you reframe your thoughts about speaking. You feel progress, but something still feels incomplete. Dr. Elena notices. ""Maya, I think you're ready for the next step. Sometimes we need to experience different approaches to fully heal.""",I'm ready to try South Africa,9,,,,,,,,,,,,,,
11,"Dr. Elena understands. ""I know it might seem unusual, but traditional healing has wisdom that modern therapy sometimes misses. Mama Thandi works with the body's natural rhythms and the power of voice in ways that complement what we've started here. But if you're not comfortable, we can explore other options.""",I'll trust you - let's go,9,I'd prefer a different approach,16,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"She leads you to a circle under the stars. """"Tonight, we will call upon the voices of those who came before us. Their strength will become yours.""""""",Begin the ceremony,12a,,,,,,,,,,,,,,,
12a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"She also mentioned a monk in Tibet - someone who teaches that silence is where we find our true voice. I'm curious. What if my fear of speaking comes from never learning to be comfortable with silence?""",Continue to Tibet,13,,,,,,,,,,,,,,,
13,"The flight to Lhasa is long, but the mountains that greet you are breathtaking. You travel by bus, then on foot, to a monastery high in the Himalayas. There, you meet Lama Tenzin, a monk who has spent 30 years in silent meditation.",Meet Lama Tenzin,15,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"He leads you to a meditation hall. """"We will practice together. In the space between thoughts, you will find your authentic voice.""""""",Begin the meditation,15a,,,,,,,,,,,,,,,
15a,
"But I feel like there's more to learn. Lama Tenzin suggested I might benefit from working with my body, not just my mind. He mentioned different paths I could take...""",Choose a path,16,,,,,,,,,,,,,,,
16,"Lama Tenzin looks at you thoughtfully. ""Maya, you have learned about your mind and your voice. But healing is not complete until body, mind, and spirit are aligned. There are many paths forward. Which calls to you?""",I want to work with my body and movement,17,I'm drawn to sound and energy healing,18,I need to understand my thoughts better,19,,,,,,,,,,
17,"You feel drawn to working with your physical self. Your anxiety lives in your body - the racing heart, the tense shoulders, the shallow breath. You want to learn to move through fear, not just think through it.",Try dance and movement therapy,21,I'm interested in breathwork,25,,,,,,,,,,,,
18,"You're drawn to the power of sound. Music has always moved you, and you wonder if sound frequencies could help unlock something deeper.",Try sound healing with gongs,27,I'm interested in chakra and energy work,31,,,,,,,,,,,,
19,You want to understand the thoughts that create your fear. You're curious about how your mind works and how to change the patterns that hold you back.,Try cognitive behavioral therapy,33,I'm drawn to nature and mindfulness,37,,,,,,,,,,,,
20,You want to try something completely outside your comfort zone. Something that challenges your assumptions about what healing looks like.,Try equine therapy,39,I want to try something more intense,25,,,,,,,,,,,,
21,"You fly to Salvador, Bahia - a city known for its vibrant culture and expressive movement. In a colorful studio overlooking the ocean, you meet Maria, a movement therapist who combines capoeira, dance, and therapeutic movement.",Meet Maria,22,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"She begins to move, and you follow. """"We're going to dance your fear. We're going to move it through your body until it becomes power.""""""",Begin the movement session,22a,,,,,,,,,,,,,,,
22a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Next stop: Iceland. Maria mentioned a breathwork master there who teaches that breath is the bridge between body and mind.""",Continue to Iceland,25,,,,,,,,,,,,,,,
25,"You arrive in Reykjavik and travel to a geothermal spa surrounded by snow-capped mountains. There, you meet Erik, a breathwork instructor who combines Wim Hof Method with visualization techniques.",Meet Erik,26,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"He leads you to a warm pool. """"We're going to practice breathing techniques that will help you stay calm even when your body wants to panic. When you can control your breath, you can control your voice.""""""",Begin the breathwork session,26a,,,,,,,,,,,,,,,
26a,"I'm ready to go home. I'm ready to try again.""",Return home,40,,,,,,,,,,,,,,,
27,"You arrive in Ubud, Bali - a place of temples, rice paddies, and spiritual energy. In a bamboo temple surrounded by lush greenery, you meet Wayan, a Balinese sound healer known for his powerful gong baths.",Meet Wayan,28,,,,,,,,,,,,,,
28,"He gestures to a collection of gongs, singing bowls, and chimes. """"Tonight, we will bathe you in sound. The vibrations will release what no longer serves you.""""""",Begin the sound healing,28a,,,,,,,,,,,,,,,
28a,"Wayan suggested I visit an Ayurvedic healer in India to work with chakras - the energy centers that affect voice and expression.""",Continue to India,31,,,,,,,,,,,,,,,
31,"You travel to Kerala, South India - a region known for its Ayurvedic traditions. In a peaceful ashram surrounded by coconut palms, you meet Priya, an Ayurvedic practitioner who specializes in voice and expression.",Meet Priya,32,,,,,,,,,,,,,,
32,"She leads you through a series of exercises. """"We will use mantras - sacred sounds - to activate your throat chakra. When this chakra is open, your words carry truth and power.""""""",Begin the chakra work,32a,,,,,,,,,,,,,,,
32a,"I'm ready to integrate everything I've learned.""",Return home,40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"I'm ready to integrate everything I've learned.""",Return home,40,,,,,,,,,,,,,,,
33,"You travel to a retreat center in the Swiss Alps. Surrounded by snow-capped peaks, you meet Dr. Klaus, a cognitive behavioral therapist who specializes in performance anxiety.",Meet Dr. Klaus,34,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"He pulls out a whiteboard. """"Let's map out your thought patterns. Every fearful thought has a more balanced alternative. We're going to find them.""""""",Begin the CBT session,34a,,,,,,,,,,,,,,,
34a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"He suggested I visit Japan to learn forest bathing - a practice that helps calm the mind through nature connection.""",Continue to Japan,37,,,,,,,,,,,,,,,
37,"You travel to an ancient forest near Kyoto. Surrounded by thousand-year-old cedar trees, you meet Yuki, a forest therapy guide certified in Shinrin-yoku.",Meet Yuki,38,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"She leads you deeper into the forest. """"We will practice being present. In this presence, you will find that your voice comes from a place of calm, not anxiety.""""""",Begin the forest bathing,38a,,,,,,,,,,,,,,,
38a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"I feel ready. I've learned so much. It's time to go home and try again.""",Return home,40,,,,,,,,,,,,,,,
39,"You travel to a ranch in Montana, surrounded by rolling hills and endless sky. There, you meet Jake, an equine therapist who uses horses to help people overcome fear and build confidence.",Meet Jake,39a,,,,,,,,,,,,,,
39a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"You spend the afternoon with Sage, learning to communicate through energy and presence rather than words.""",Continue the session,39b,,,,,,,,,,,,,,,
39b,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Jake suggested I try breathwork in Iceland to learn to control my nervous system response. I think I will.""",Continue to Iceland,25,,,,,,,,,,,,,,,
40,"Three months have passed. You've integrated the teachings from all your journeys. You've practiced daily - breathing exercises, vocal toning, meditation, movement. Now, you stand backstage again. The same bookstore. A new book launch for your second novel. But this time feels different.",Step onto the stage,41,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"You look at the audience and smile. """"Thank you for being here...""""""",Begin speaking confidently,42,Use a breathing technique first,43,Feel the fear but speak anyway,44,,,,,,,,,,,
42,"You speak with newfound confidence. Your voice is clear, your words flow naturally. You're not performing - you're sharing. The audience leans forward, engaged. You realize they're not judging you - they're listening. Really listening.",Continue,45,,,,,,,,,,,,,,
43,"You take three deep breaths, using Erik's technique. Your heart rate drops. Your mind clears. You find that space of silence that Lama Tenzin taught you. From that place, your words emerge naturally, authentically. The audience responds with warmth.",Continue,45,,,,,,,,,,,,,,
44,"You acknowledge the fear. ""I have to admit,"" you say, ""I'm a bit nervous up here."" The audience laughs warmly. ""But I'm also excited to share this story with you."" In acknowledging the fear, it loses its power. You speak with authenticity, and the audience connects with your honesty.",Continue,45,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"You realize this journey wasn't just about you. It was about finding your voice so others can find theirs too.""",Read final diary entry,46,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"THE END""",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
